SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
嘉義,嘉義市,26,,良好,2.6,0.18,0.1,35.7,15,32,20,3.6,4.9,1.3,2.4,261,2021/08/25 11:00:00,8,19,1,120.44083333,23.462778,42
小港,高雄市,48,,良好,,,0.2,20.5,8,,,,,,1.4,134,2021/08/25 11:00:00,14,25,2,120.337736,22.565833,58
新營,臺南市,42,,良好,4.2,0.18,0.1,31.4,13,29,20,6.3,8.2,1.9,2,239,2021/08/25 11:00:00,12,23,1,120.31725,23.305633,43
善化,臺南市,29,,良好,2.4,0.18,0,46.1,14,21,22,8.3,10.2,1.8,3.7,226,2021/08/25 11:00:00,9,15,1,120.297142,23.115097,44
安南,臺南市,39,,良好,2.2,0.16,0.2,33.5,14,25,17,3.9,5.9,2,4.2,189,2021/08/25 11:00:00,12,22,2,120.2175,23.048197,45
臺南,臺南市,42,,良好,1.9,0.12,0.1,32.4,14,25,19,3.5,5.4,1.9,2.5,218,2021/08/25 11:00:00,13,21,1,120.202617,22.984581,46
美濃,高雄市,21,,良好,1.8,0.13,0.1,27.1,10,21,9,2.2,3.4,1.1,1.5,224,2021/08/25 11:00:00,6,17,1,120.530542,22.883583,47
橋頭,高雄市,45,,良好,2.9,0.23,0.2,36.3,12,37,22,7.8,11.2,3.3,3.8,238,2021/08/25 11:00:00,14,30,1,120.305689,22.757506,48
仁武,高雄市,55,細懸浮微粒,普通,6.7,0.43,0.3,28.4,11,41,29,20.4,28,7.6,2.7,228,2021/08/25 11:00:00,17,33,2,120.332631,22.689056,49
鳳山,高雄市,45,,良好,7,0.55,0.3,17.9,8,36,26,18.4,29.2,10.8,1.3,271,2021/08/25 11:00:00,14,27,2,120.358083,22.627392,50
大寮,高雄市,56,細懸浮微粒,普通,2,0.15,0.2,28.3,10,28,15,5.3,7.3,1.9,2.8,184,2021/08/25 11:00:00,17,37,2,120.425311,22.56413611,51
林園,高雄市,44,,良好,1.3,0.1,0.1,27.5,11,24,15,5,7,1.9,3,189,2021/08/25 11:00:00,13,26,1,120.41175,22.4795,52
楠梓,高雄市,36,,良好,3.4,0.28,0.2,30.9,9,40,22,13.7,18,4.2,2.6,296,2021/08/25 11:00:00,11,27,1,120.328289,22.733667,53
左營,高雄市,42,,良好,,0.25,0.2,28.8,14,36,,,,,3.1,235,2021/08/25 11:00:00,13,26,2,120.292917,22.674861,54
前金,高雄市,44,,良好,2.3,0.14,0.2,29.1,12,22,16,6.3,9,2.7,3,217,2021/08/25 11:00:00,13,16,2,120.288086,22.632567,56
前鎮,高雄市,36,,良好,2.1,0.17,0.3,,7,23,18,7.9,11.9,4,2.2,173,2021/08/25 11:00:00,11,25,2,120.307564,22.605386,57
屏東,屏東縣,40,,良好,5.5,0.28,0.2,38.6,12,36,22,5.9,8,2,1.8,145,2021/08/25 11:00:00,12,26,1,120.488033,22.673081,59
潮州,屏東縣,36,,良好,2,0.06,0,29.4,13,34,18,1.8,2.9,1,2.8,212,2021/08/25 11:00:00,11,20,1,120.561175,22.523108,60
恆春,屏東縣,59,細懸浮微粒,普通,1.5,0.08,0,26,22,28,21,2.1,3,0.8,3.3,163,2021/08/25 11:00:00,18,24,1,120.788928,21.958069,61
臺東,臺東縣,18,,良好,1.4,0.15,0.1,21.6,10,22,8,3.1,5.8,2.7,2.5,137,2021/08/25 11:00:00,5,15,1,121.15045,22.755358,62
花蓮,花蓮縣,30,,良好,0.5,0.1,0.1,20.7,10,15,,2.3,3,0.6,3.4,142,2021/08/25 11:00:00,9,16,0,121.599769,23.971306,63
陽明,臺北市,26,,良好,,,0.1,49.8,28,17,,7.1,8.4,1.2,2.8,360,2021/08/25 11:00:00,2,11,0,121.529583,25.182722,64
宜蘭,宜蘭縣,26,,良好,1.4,0.2,0.1,39.2,18,25,7,4.6,6.5,1.9,2.5,100,2021/08/25 11:00:00,8,19,1,121.746394,24.747917,65
冬山,宜蘭縣,34,,良好,1.6,0.22,0.2,39.8,13,25,12,7,10.6,3.6,1.7,218,2021/08/25 11:00:00,10,28,1,121.792928,24.632203,66
三重,新北市,54,二氧化氮,普通,2.1,0.87,0.8,29.7,10,17,11,35.1,64.3,29.2,-,-,2021/08/25 11:00:00,11,22,0,121.493806,25.072611,67
中壢,桃園市,33,,良好,1.9,0.7,0.6,24.6,9,23,15,20.2,37.2,16.9,0.9,76,2021/08/25 11:00:00,9,20,1,121.221667,24.953278,68
竹山,南投縣,26,,良好,3.9,0.25,0.1,46.2,13,27,16,6.1,7.6,1.4,1.7,222,2021/08/25 11:00:00,8,20,1,120.677306,23.756389,69
永和,新北市,57,細懸浮微粒,普通,1.6,0.84,0.7,37.8,13,,38,25.3,37.7,12.3,1.6,73,2021/08/25 11:00:00,18,22,0,121.516306,25.017,70
復興,高雄市,46,,良好,1.6,0.17,0.3,22.6,9,23,16,4.6,7.4,2.7,0.9,292,2021/08/25 11:00:00,14,21,2,120.312017,22.608711,71
埔里,南投縣,16,,良好,,,0.1,26.3,10,,,,,,1.8,285,2021/08/25 11:00:00,5,13,0,120.967903,23.968842,72
馬祖,連江縣,15,,良好,0.9,0.09,0,24.3,15,15,,3.9,6,2,2.9,184,2021/08/25 11:00:00,,15,1,119.949875,26.160469,75
金門,金門縣,16,,良好,1.7,0.1,0,23.9,11,11,5,5.1,7.6,2.4,3.6,189,2021/08/25 11:00:00,4,14,0,118.312256,24.432133,77
馬公,澎湖縣,28,,良好,0.7,0.1,0,21.7,15,12,6,3.4,5.9,2.4,2.4,252,2021/08/25 11:00:00,8,13,0,119.566158,23.569031,78
關山,臺東縣,20,,良好,1.5,-,-,18.4,6,15,4,1.5,2.3,0.8,1.6,205,2021/08/25 11:00:00,6,17,1,121.161933,23.045083,80
麥寮,雲林縣,34,,良好,2,0.1,0.1,30.4,12,24,10,2.4,3.9,1.4,2.7,256,2021/08/25 11:00:00,10,21,1,120.251825,23.753506,83
富貴角,新北市,26,,良好,1.7,0.18,0.1,49.4,28,18,6,5.7,6.9,1.2,1.8,83,2021/08/25 11:00:00,5,13,0,121.54738,25.29228,84
大城,彰化縣,37,,良好,4.6,0.09,0.1,23.8,9,21,10,7.5,12.8,5.3,6.3,260,2021/08/25 11:00:00,11,21,2,120.26964167,23.85493056,85
臺南(麻豆),臺南市,36,,良好,1.5,0.18,0.2,33.8,9,31,18,8.2,11.7,3.5,1.1,270,2021/08/25 11:00:00,11,23,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,40,,良好,0.5,0.12,0.1,20.9,14,19,14,0.7,1.8,1.1,1,167,2021/08/25 11:00:00,12,19,0,120.37722,22.35222,204
新北(樹林),新北市,30,,良好,2.6,0.41,0.2,57.6,17,27,14,16.7,18.7,1.9,0.3,20,2021/08/25 11:00:00,9,22,0,121.38352778,24.94902778,311
臺南(學甲),臺南市,25,,良好,0.8,0.14,0.1,30.1,13,,11,6.4,11.3,4.8,2.1,234,2021/08/25 11:00:00,7,,0,120.18339722,23.23688056,312
屏東(枋寮),屏東縣,31,,良好,0.5,0.09,0.1,23.4,13,,9,1.3,1.7,0.3,0.4,258,2021/08/25 11:00:00,9,,0,120.59116667,22.37094722,313
